Date,Close,Buy,Sell,Open,High,Low
1961-07-21,  64.86,False,False,  64.86,  64.86,  64.86
1961-07-28,  66.71,False,False,  66.71,  66.71,  66.71
1961-08-04,  67.68,False,False,  67.68,  67.68,  67.68
1961-08-11,  68.06,False,False,  68.06,  68.06,  68.06
1961-08-18,  68.29,False,False,  68.29,  68.29,  68.29
1961-08-25,  67.67,False,False,  67.67,  67.67,  67.67
1961-09-01,  68.19,False,False,  68.19,  68.19,  68.19
1961-09-08,  67.88,False,False,  67.88,  67.88,  67.88
1961-09-15,  67.65,False,False,  67.65,  67.65,  67.65
1961-09-22,  66.72,False,False,  66.72,  66.72,  66.72
1961-09-29,  66.73,False,False,  66.73,  66.73,  66.73
1961-10-06,  67.97,False,False,  67.97,  67.97,  67.97
1961-10-13,  68.04,False,False,  68.04,  68.04,  68.04
1961-10-20,  68.48,False,False,  68.48,  68.48,  68.48
1961-10-27,  68.34,False,False,  68.34,  68.34,  68.34
1961-11-03,  69.47,False,False,  69.47,  69.47,  69.47
1961-11-10,  71.07,False,False,  71.07,  71.07,  71.07
1961-11-17,  71.62,False,False,  71.62,  71.62,  71.62
1961-11-24,  71.84,False,False,  71.84,  71.84,  71.84
1961-12-01,  71.78,False,False,  71.78,  71.78,  71.78
1961-12-08,  72.04,False,False,  72.04,  72.04,  72.04
1961-12-15,  72.01,False,False,  72.01,  72.01,  72.01
1961-12-22,  70.91,False,False,  70.91,  70.91,  70.91
1961-12-29,  71.55,False,False,  71.55,  71.55,  71.55
1962-01-05,  69.66,False,False,  69.66,  69.66,  69.66
1962-01-12,  69.61,False,False,  69.61,  69.61,  69.61
1962-01-19,  68.75,False,False,  68.75,  68.75,  68.75
1962-01-26,  68.13,False,False,  68.13,  68.13,  68.13
1962-02-02,  69.81,False,False,  69.81,  69.81,  69.81
1962-02-09,  70.48,False,False,  70.48,  70.48,  70.48
1962-02-16,  70.59,False,False,  70.59,  70.59,  70.59
1962-02-23,  70.16,False,False,  70.16,  70.16,  70.16
1962-03-02,  70.16,False,False,  70.16,  70.16,  70.16
1962-03-09,  70.42,False,False,  70.42,  70.42,  70.42
1962-03-16,  70.94,False,False,  70.94,  70.94,  70.94
1962-03-23,  70.45,False,False,  70.45,  70.45,  70.45
1962-03-30,  69.55,False,False,  69.55,  69.55,  69.55
1962-04-06,  68.84,False,False,  68.84,  68.84,  68.84
1962-04-13,  67.90,False,False,  67.90,  67.90,  67.90
1962-04-19,  68.59,False,False,  68.59,  68.59,  68.59
1962-04-27,  66.30,False,False,  66.30,  66.30,  66.30
1962-05-04,  66.24,False,False,  66.24,  66.24,  66.24
1962-05-11,  62.65,False,False,  62.65,  62.65,  62.65
1962-05-18,  63.82,False,False,  63.82,  63.82,  63.82
1962-05-25,  59.47,False,False,  59.47,  59.47,  59.47
1962-06-01,  59.38,False,False,  59.38,  59.38,  59.38
1962-06-08,  58.45,False,False,  58.45,  58.45,  58.45
1962-06-15,  55.89,False,False,  55.89,  55.89,  55.89
1962-06-22,  52.68,False,False,  52.68,  52.68,  52.68
1962-06-29,  54.75,False,False,  54.75,  54.75,  54.75
1962-07-06,  56.17,False,False,  56.17,  56.17,  56.17
1962-07-13,  57.83,False,False,  57.83,  57.83,  57.83
1962-07-20,  56.81,False,False,  56.81,  56.81,  56.81
1962-07-27,  57.20,False,False,  57.20,  57.20,  57.20
1962-08-03,  58.12,False,False,  58.12,  58.12,  58.12
1962-08-10,  57.55,False,False,  57.55,  57.55,  57.55
1962-08-17,  59.01,False,False,  59.01,  59.01,  59.01
1962-08-24,  59.58,False,False,  59.58,  59.58,  59.58
1962-08-31,  59.12,False,False,  59.12,  59.12,  59.12
1962-09-07,  58.38,False,False,  58.38,  58.38,  58.38
1962-09-14,  58.89,False,False,  58.89,  58.89,  58.89
1962-09-21,  57.69,False,False,  57.69,  57.69,  57.69
1962-09-28,  56.27,False,False,  56.27,  56.27,  56.27
1962-10-05,  57.07,False,False,  57.07,  57.07,  57.07
1962-10-12,  56.95,False,False,  56.95,  56.95,  56.95
1962-10-19,  55.59,False,False,  55.59,  55.59,  55.59
1962-10-26,  54.54,False,False,  54.54,  54.54,  54.54
1962-11-02,  57.75,True,False,  57.75,  57.75,  57.75
1962-11-09,  58.78,False,False,  58.78,  58.78,  58.78
1962-11-16,  60.16,False,False,  60.16,  60.16,  60.16
1962-11-23,  61.54,False,False,  61.54,  61.54,  61.54
1962-11-30,  62.26,False,False,  62.26,  62.26,  62.26
1962-12-07,  63.06,False,False,  63.06,  63.06,  63.06
1962-12-14,  62.57,False,False,  62.57,  62.57,  62.57
1962-12-21,  62.64,False,False,  62.64,  62.64,  62.64
1962-12-28,  62.96,False,False,  62.96,  62.96,  62.96
1963-01-04,  64.13,False,False,  64.13,  64.13,  64.13
1963-01-11,  64.85,False,False,  64.85,  64.85,  64.85
1963-01-18,  65.18,False,False,  65.18,  65.18,  65.18
1963-01-25,  65.92,False,False,  65.92,  65.92,  65.92
1963-02-01,  66.31,False,False,  66.31,  66.31,  66.31
1963-02-08,  66.17,False,False,  66.17,  66.17,  66.17
1963-02-15,  66.41,False,False,  66.41,  66.41,  66.41
1963-02-21,  65.92,False,False,  65.92,  65.92,  65.92
1963-03-01,  64.10,False,False,  64.10,  64.10,  64.10
1963-03-08,  65.33,False,False,  65.33,  65.33,  65.33
1963-03-15,  65.93,False,False,  65.93,  65.93,  65.93
1963-03-22,  66.19,False,False,  66.19,  66.19,  66.19
1963-03-29,  66.57,False,False,  66.57,  66.57,  66.57
1963-04-05,  68.28,False,False,  68.28,  68.28,  68.28
1963-04-11,  68.77,False,False,  68.77,  68.77,  68.77
1963-04-19,  69.23,False,False,  69.23,  69.23,  69.23
1963-04-26,  69.70,False,False,  69.70,  69.70,  69.70
1963-05-03,  70.03,False,False,  70.03,  70.03,  70.03
1963-05-10,  70.52,False,False,  70.52,  70.52,  70.52
1963-05-17,  70.29,False,False,  70.29,  70.29,  70.29
1963-05-24,  70.02,False,False,  70.02,  70.02,  70.02
1963-05-31,  70.80,False,False,  70.80,  70.80,  70.80
1963-06-07,  70.41,False,False,  70.41,  70.41,  70.41
1963-06-14,  70.25,False,False,  70.25,  70.25,  70.25
1963-06-21,  70.25,False,False,  70.25,  70.25,  70.25
1963-06-28,  69.37,False,False,  69.37,  69.37,  69.37
1963-07-05,  70.22,False,False,  70.22,  70.22,  70.22
1963-07-12,  69.64,False,False,  69.64,  69.64,  69.64
1963-07-19,  68.35,False,False,  68.35,  68.35,  68.35
1963-07-26,  68.54,False,False,  68.54,  68.54,  68.54
1963-08-02,  69.30,False,False,  69.30,  69.30,  69.30
1963-08-09,  70.48,False,False,  70.48,  70.48,  70.48
1963-08-16,  71.49,False,False,  71.49,  71.49,  71.49
1963-08-23,  71.76,False,False,  71.76,  71.76,  71.76
1963-08-30,  72.50,False,False,  72.50,  72.50,  72.50
